Species,CommonName,Description
Perca flavescens,American yellow perch,"The yellow perch, a North American sport fish, has golden body with vertical stripes and is prized for food."
Percina caprodes,Logperch,"The logperch, a darter with a long snout used to flip stones in search of invertebrates, native to North America."
Percina maculata,Blackside darter,"The blackside darter, a small fish of North American rivers, marked with dark side blotches."
Percina notogramma,Stripeback darter,"The stripeback darter, a mid-Atlantic USA fish with a striped back, inhabiting small streams."
Percina peltata,Shield darter,"The shield darter, a fish of northeastern USA streams, with blotched pattern and preference for riffles."
Percina shumardi,River darter,"The river darter, a widespread North American species, inhabits large rivers with sandy or gravel bottoms."
Percina tanasi,Snail darter,"The snail darter, a small endangered fish from Tennessee rivers, once central to a famous conservation case."
Percopsis omiscomaycus,Trout-perch,"The trout-perch, a North American fish combining features of salmonids and perches, found in cool lakes."
Phenacogrammus interruptus,Congo tetra,"The Congo tetra, a popular aquarium species from Central Africa, with iridescent body and long fins."
Phoxinus phoxinus,Eurasian minnow,"The European minnow, a small shoaling cyprinid common in rivers and streams across Europe."
Plagopterus argentissimus,Woundfin,"The woundfin, a small endangered desert minnow from the Virgin River in the USA."
Planiliza subviridis,Greenback mullet,"The greenback mullet, a coastal and estuarine fish of the Indo-Pacific, often in brackish waters."
Platygobio gracilis,Flathead chub,"The flathead chub, a silvery minnow from large prairie rivers of North America."
Platytropius siamensis,,"A small Asian river catfish with elongated body and long barbels, inhabiting freshwater streams."
Plecoglossus altivelis,Ayu sweetfish,"The ayu, a Japanese fish valued for its sweet-tasting flesh, migrates between rivers and the sea."
Pogonichthys macrolepidotus,Splittail,"The Sacramento splittail, a native Californian cyprinid with a deeply forked tail, now threatened."
Polypterus delhezi,Barred bichir,"The barred bichir, an African “living fossil” with elongated body and dorsal finlets, often in aquariums."
Prosopium williamsoni,Mountain whitefish,"The mountain whitefish, a salmonid native to western North America, inhabiting cold lakes and streams."
Protochondrostoma genei,,"The Italian nase, a small cyprinid endemic to northern Italy, found in streams and rivers."
Pseudochondrostoma polylepis,Iberian nase,"The Iberian straight-mouth nase, a river fish endemic to the Iberian Peninsula."
Puntigrus tetrazona,Sumatra barb,"The tiger barb, a Southeast Asian fish with vertical black bands and active schooling behavior, common in aquariums."
Puntius titteya,Cherry barb,"The cherry barb, a Sri Lankan species with bright red coloration in males, widely kept in aquariums."
Relictus solitarius,Relict dace,"The relic dace, a rare fish endemic to eastern Nevada springs and streams."
Rhinichthys atratulus,Blacknose dace,"The blacknose dace, a small North American minnow found in cool streams, recognized by its dark lateral stripe."
Rhinichthys cataractae,Longnose dace,"The longnose dace, a hardy stream fish of North America with an elongated snout."
Rhinichthys osculus,Speckled dace,"The speckled dace, a widespread minnow of western North America, highly variable in form."
Rhodeus amarus,European bitterling,"The European bitterling, a small cyprinid that lays its eggs inside freshwater mussels."
Rhodeus ocellatus,Rosy bitterling,"The rosy bitterling, native to East Asia, with males showing bright red during spawning."
Rhodeus sericeus,Bitterling,"The Amur bitterling, a small fish from northeastern Asia, with colorful breeding males."
Richardsonius balteatus,Redside shiner,"The redside shiner, a North American minnow with reddish flanks during spawning, found in western rivers."
Sander canadensis,Sauger,"The sauger, a North American percid related to walleye, with mottled body and preference for turbid rivers."
Schilbe mystus,African butter catfish,"The African butter catfish, a small schooling species with a flattened head and forked tail."
Semotilus atromaculatus,Creek chub,"The creek chub, a widespread minnow from eastern North America, with males developing tubercles during breeding."
Serrasalmus rhombeus,Redeye piranha,"The black piranha, a South American predator with powerful jaws and dark coloration."
Siphateles bicolor,Tui chub,"The tui chub, a cyprinid native to western North America, highly variable in size and form."
Strongylura marina,Atlantic needlefish,"The Atlantic needlefish, a long, slender marine fish common in estuaries of the western Atlantic."
Synodontis ocellifer,,"The ocellated synodontis, an African upside-down catfish with spotted body and long barbels."
Tanichthys albonubes,White cloud mountain minnow,"The white cloud mountain minnow, a small Chinese cyprinid popular in aquariums for its hardiness."
Xenentodon cancila,Freshwater garfish,"The freshwater needlefish, a long-bodied predator from South Asia, often kept in aquariums."
Toxotes chatareus,Spotted archerfish,"The banded archerfish, known for shooting jets of water to knock insects from vegetation, found in Indo-Pacific estuaries."
Acheilognathus asmussii,Russian bitterling,"A bitterling from East Asia that deposits its eggs in mussels, with males showing bright colors during breeding."
Alburnoides taeniatus,Striped bystranka,"A small cyprinid from the Balkans, with a silver body and lateral stripe, inhabiting rivers and streams."
Ambassis elongata,Elongate glassfish,"A translucent Asiatic glassy perchlet found in estuaries and coastal waters, often forming schools."
Ambastaia sidthimunki,Dwarf botia,"The dwarf chain loach, a small Southeast Asian fish with chain-like patterns, popular in aquariums."
Amblypharyngodon chulabhornae,,"A small cyprinid native to Southeast Asia, inhabiting floodplains and rice fields."
Cichlasoma trimaculatum,Three spot cichlid,"The three spot cichlid from Central America, known for its aggressive nature and spotted pattern."
Andinoacara pulcher,Blue acara,"The blue acara, a South American cichlid with metallic blue sheen and orange fin margins, common in aquaria."
Anostomus anostomus,Striped headstander,"The striped headstander, a South American fish with bold stripes, swims at an oblique angle while feeding."
Aphanius fasciatus,Mediterranean banded killifish,"The Mediterranean killifish, a small cyprinodont with vertical body bars, tolerant of brackish waters."
Apistogramma arua,,"A dwarf cichlid from the Amazon basin, displaying sexual dimorphism and vibrant male coloration."
Aplocheilus lineatus,Striped panchax,"The striped panchax, a South Asian killifish with golden body and horizontal stripes, surface-dwelling in ponds and streams."
Aulonocara baenschi,Nkhomo-benga peacock,"The sunshine peacock cichlid, a Lake Malawi endemic with vivid yellow coloration, popular in aquariums."
Aulonocara hansbaenschi,Aulonocara Fort Maguire,A brightly colored Malawian cichlid with metallic blue body and contrasting yellow fins.
Babka gymnotrachelus,Racer goby,"The racer goby, a Ponto-Caspian species now invasive in European rivers, identified by elongated body."
Ballerus sapa,White-eye bream,"The white-eye bream, a European cyprinid with a high body and pale iris, inhabiting large rivers."
Barbatula barbatula,Stone loach,"The stone loach, a small benthic fish of Europe and Asia with barbels, found in cool streams."
Barbodes binotatus,Spotted barb,"The spotted barb, a Southeast Asian cyprinid with two black spots, common in rivers and ponds."
Barbodes lateristriga,Spanner barb,"The spanner barb, a Southeast Asian aquarium fish with bold black bands across its body."
Barbus cyclolepis,Round-scaled barbell,"The Carpathian barbel, a small European cyprinid restricted to the Danube basin."
Barbus meridionalis,Mediterranean barbel,"The Mediterranean barbel, endemic to rivers of southern Europe, inhabits clear, fast-flowing streams."
Barbus peloponnesius,,"A freshwater barbel native to Greece, typically found in streams and rivers of the Peloponnese."
Betta bellica,Slim betta,"The slender betta, a Southeast Asian labyrinth fish with elongated body and ability to breathe air."
Betta coccina,,"The scarlet betta, a small, brilliantly red species from peat swamps of Sumatra."
Betta pugnax,Penang betta,"A wild betta from Malaysia and Sumatra, with subdued colors, inhabiting streams and forest pools."
Boraras maculatus,Dwarf rasbora,"The dwarf rasbora, a tiny Southeast Asian fish with red body and black spot, popular in nano aquariums."
Botia lohachata,Reticulate loach,"The yoyo loach, a South Asian bottom-dweller with a distinctive Y-shaped pattern on its body."
Brevibora dorsiocellata,Eyespot rasbora,"The greenline rasbora, a small Southeast Asian schooling fish with an eye-spot near the dorsal fin."
Butis koilomatodon,Mud sleeper,"A brackish-water sleeper goby with flattened head and cryptic coloration, found in the Indo-Pacific."
Capoeta capoeta,Seven khramulya,"The Caucasian scraper, a benthic cyprinid from rivers of the Caucasus and Middle East."
Capoeta tinca,Anatolian khramulya,"The Anatolian khramulya, a cyprinid from Turkey with scraping feeding habits on algae-covered rocks."
Chelon labrosus,Thicklip grey mullet,"The thicklip grey mullet, a coastal fish of Europe with fleshy lips, often entering estuaries."
